sofa	sofo	n. furniture	w
bookstand	pupitro	n.	
cabinet	ŝranko	n.	
clothes closet	ŝranko	n.	
closet	kamero	n.	
cupboard	ŝranko	n.	w
mantel	kamenŝranko	n. mantelpiece	
mantelpiece	kamenbreto	n.	w
curtain	kurteno	n.	w
seat	seĝo	n.chair	w
furniture	meblo	n. piece of furniture	
cushion	kuseno	n.	n
table	tablo	n, on which to place things	
speaker’s platform	podio	n.	
speaker’s platform	tribuno	n.	
rostrum	podio	n.	
rostrum	pupitro	n.	
bed	lito	n. 	w
mirror	spegulo	n.	w
chest of drawers	komodo	n.	w
mattress	matraco	n.	w