bookkeeper	kontisto	n.	
bookkeeper	librotenisto	n.	
Tiroler Sparbank	Tirola Ŝparbanko	Tyrolean Savings Bank	
buck	dolaro	n. dollar	w
dollar	dolaro	n.	w
interest payment	rento	n.	
interest rate	interezo	n.	
interest rate	rentumo	n.	
debit	debeto	n.	
debt	ŝuldo	n.	
debtor	debitoro	n.	
salary	salajro	n.	
paid	pagis	v.tr
price	prezo	n.
account	konto	n.	
account statement	konteltiro	n.	
accountant	kontisto	n.	
money	mono	n.	w
expensive	kara	adj.	
fund	kaso	n.	
poor	malriĉa	adj.	w
rent payment	lupago	n.	
tax	imposti	v.	
pay	pagi	v.tr amount paid is in the accusative	
pay out	elspezi	v.	
balance sheet	bilanco	n.	
cash register	kaso	n.	
fee	kotizo	n.	
till	kaso	n. cash register	w
coin bank	kaso	n.	
treasurer	kasisto	n.	
underpaid	nesufiĉe pagata	phr.	w
banker	bankisto	n.
rich	riĉa	adj.	
richness	riĉeco	n.	
sixpence	ses-penco	n. MONEY	w
turnover	spezi	v.tr to turnover (money)	