library	biblioteko	n.	w

press	gazetaro	n.	

paperback book	broŝuro	n.	
pamphlet	broŝureto	n.	
booklet	broŝureto	n.	
pamphlet	faldfolio	n.	

pamphlet	pamfleto	n. usually libellous often humorous often political pamphlet	
pamphlet	paskvilo	n. libelous, often humorous, often political pamphlet	
print	presi	v.	
copy	ekzemplero	eg of a book	
copy	numero	of a magazine	
edition	numero	n. of a magazine	
editor	redaktisto	n.	
editorial office	redakcio	n.	
editorial office	redaktoro	n.	
magazine	magazino	n. popular magazine (for amusement)	
magazine	revuo	n.	
journal	revuo	n.	

paper	gazeto	n. newspaper	
magazine	gazeto	n.	
periodical	gazeto	n. incl magazines and newspapers	
newspaper	gazeto	n.	
brochure	faldfolio	n.	w

newspaper	ĵurnalo	n.	
paper	jurnalo	n. newspaper	

technical journal	revuo	n.	
technical report	referaĵo	n.	

short story	novelo	n.	
book	libro	n.	
chapter	ĉapitro	n.	
by	fare de	made by	

frontispiece	frontispico	n.	
typefont	literaro	n.	
prologue	prologo	n.	w
character	persono	n. character in a work of fiction	w

publish	eldoni	v.	