magnitude	grandeco	n.	w
size	grandeco	n.	w

big	granda	adj.	w
biggest	plej granda	adj.	
great	granda	adj. large	
large	granda	adj.	
large	ampleksa	adj. bulky	
massive	granda	adj. large	w
massive	grandega	adj. very large	w
much	granda parto	phr.	

slight	malgranda	adj. not large	
little	malgranda	adj.	
little	malmulte	adv.	
small	malgranda	adj.	
immense	grandega	adj.	w
titanic	titana	adj. gigantic	w
gigantic	giganta	adj.	w

so much	tiom multe	phr. it means soooo much	
much	multa	adj. generally avoided in the singular in favor of multe da	
much	multe	adv.	
to a great extent	multe	adv.	w

expand	pligrandiĝi	v.ntr get bigger	w

a trifle	iomete	adv. slightly	w
brief	mallonga	adj.	w
a bit	iomete	adv.	w
too much	tro multe	phr.
few	malmulta	adj. small amount, countable or uncountable	w
few	plejmalmulto	n. a small segment of the whole	
several	pluraj	adj.	w
wide	larĝa	adj.	w

greater	pli granda	phr.